駅グループ名,駅グループ事業者,駅グループ路線名,駅グループ路線区別名,駅グループ路線正式区間,駅グループ路線運行系統,駅グループの路線ごとの並び順,駅名,駅名(正式),駅の路線の事業者,駅の路線,駅の路線区別名,駅の路線の事業者(運行系統),路線名(運行系統),路線区別名(運行系統),"路線[正式区間](1:true, none:false)","路線[運行系統](1:true, none:false)",ナンバリング接頭辞,路線記号,ナンバリングハイフン,駅番号,路線(運行系統)ごとの並び順,駅カラー
,,,,,,,青森,青森,北海道旅客鉄道株式会社,青函航路,,北海道旅客鉄道株式会社,青函航路,,1,1,,,,,1,
,,,,,,,函館,函館,北海道旅客鉄道株式会社,青函航路,,北海道旅客鉄道株式会社,青函航路,,1,1,,,,,2,
,,,,,,,木古内,木古内,北海道旅客鉄道株式会社,江差線,,北海道旅客鉄道株式会社,江差線,,1,1,,,,,1,
,,,,,,,渡島鶴岡,渡島鶴岡,北海道旅客鉄道株式会社,江差線,,北海道旅客鉄道株式会社,江差線,,1,1,,,,,2,
,,,,,,,吉堀,吉堀,北海道旅客鉄道株式会社,江差線,,北海道旅客鉄道株式会社,江差線,,1,1,,,,,3,
,,,,,,,神明,神明,北海道旅客鉄道株式会社,江差線,,北海道旅客鉄道株式会社,江差線,,1,1,,,,,4,
,,,,,,,湯ノ岱,湯ノ岱,北海道旅客鉄道株式会社,江差線,,北海道旅客鉄道株式会社,江差線,,1,1,,,,,5,
,,,,,,,宮越,宮越,北海道旅客鉄道株式会社,江差線,,北海道旅客鉄道株式会社,江差線,,1,1,,,,,6,
,,,,,,,桂岡,桂岡,北海道旅客鉄道株式会社,江差線,,北海道旅客鉄道株式会社,江差線,,1,1,,,,,7,
,,,,,,,中須田,中須田,北海道旅客鉄道株式会社,江差線,,北海道旅客鉄道株式会社,江差線,,1,1,,,,,8,
,,,,,,,上ノ国,上ノ国,北海道旅客鉄道株式会社,江差線,,北海道旅客鉄道株式会社,江差線,,1,1,,,,,9,
,,,,,,,江差,江差,北海道旅客鉄道株式会社,江差線,,北海道旅客鉄道株式会社,江差線,,1,1,,,,,10,
,,,,,,,木古内,木古内,北海道旅客鉄道株式会社,松前線,,北海道旅客鉄道株式会社,松前線,,1,1,,,,,1,
,,,,,,,森越,森越,北海道旅客鉄道株式会社,松前線,,北海道旅客鉄道株式会社,松前線,,1,1,,,,,2,
,,,,,,,渡島知内,渡島知内,北海道旅客鉄道株式会社,松前線,,北海道旅客鉄道株式会社,松前線,,1,1,,,,,3,
,,,,,,,重内,重内,北海道旅客鉄道株式会社,松前線,,北海道旅客鉄道株式会社,松前線,,1,1,,,,,4,
,,,,,,,湯ノ里,湯ノ里,北海道旅客鉄道株式会社,松前線,,北海道旅客鉄道株式会社,松前線,,1,1,,,,,5,
,,,,,,,千軒,千軒,北海道旅客鉄道株式会社,松前線,,北海道旅客鉄道株式会社,松前線,,1,1,,,,,6,
,,,,,,,渡島福島,渡島福島,北海道旅客鉄道株式会社,松前線,,北海道旅客鉄道株式会社,松前線,,1,1,,,,,7,
,,,,,,,白符,白符,北海道旅客鉄道株式会社,松前線,,北海道旅客鉄道株式会社,松前線,,1,1,,,,,8,
,,,,,,,渡島吉岡,渡島吉岡,北海道旅客鉄道株式会社,松前線,,北海道旅客鉄道株式会社,松前線,,1,1,,,,,9,
,,,,,,,渡島大沢,渡島大沢,北海道旅客鉄道株式会社,松前線,,北海道旅客鉄道株式会社,松前線,,1,1,,,,,10,
,,,,,,,及部,及部,北海道旅客鉄道株式会社,松前線,,北海道旅客鉄道株式会社,松前線,,1,1,,,,,11,
,,,,,,,松前,松前,北海道旅客鉄道株式会社,松前線,,北海道旅客鉄道株式会社,松前線,,1,1,,,,,12,
,,,,,,,国縫,国縫,日本国有鉄道,瀬棚線,,日本国有鉄道,瀬棚線,,1,1,,,,,1,
,,,,,,,茶屋川,茶屋川,日本国有鉄道,瀬棚線,,日本国有鉄道,瀬棚線,,1,1,,,,,2,
,,,,,,,美利河,美利河,日本国有鉄道,瀬棚線,,日本国有鉄道,瀬棚線,,1,1,,,,,3,
,,,,,,,花石,花石,日本国有鉄道,瀬棚線,,日本国有鉄道,瀬棚線,,1,1,,,,,4,
,,,,,,,北住吉,北住吉,日本国有鉄道,瀬棚線,,日本国有鉄道,瀬棚線,,1,1,,,,,5,
,,,,,,,種川,種川,日本国有鉄道,瀬棚線,,日本国有鉄道,瀬棚線,,1,1,,,,,6,
,,,,,,,今金,今金,日本国有鉄道,瀬棚線,,日本国有鉄道,瀬棚線,,1,1,,,,,7,
,,,,,,,神丘,神丘,日本国有鉄道,瀬棚線,,日本国有鉄道,瀬棚線,,1,1,,,,,8,
,,,,,,,丹羽,丹羽,日本国有鉄道,瀬棚線,,日本国有鉄道,瀬棚線,,1,1,,,,,9,
,,,,,,,北檜山,北檜山,日本国有鉄道,瀬棚線,,日本国有鉄道,瀬棚線,,1,1,,,,,10,
,,,,,,,瀬棚,瀬棚,日本国有鉄道,瀬棚線,,日本国有鉄道,瀬棚線,,1,1,,,,,11,
,,,,,,,小沢,小沢,日本国有鉄道,岩内線,,日本国有鉄道,岩内線,,1,1,,,,,1,
,,,,,,,国富,国富,日本国有鉄道,岩内線,,日本国有鉄道,岩内線,,1,1,,,,,2,
,,,,,,,幌似,幌似,日本国有鉄道,岩内線,,日本国有鉄道,岩内線,,1,1,,,,,3,
,,,,,,,前田,前田,日本国有鉄道,岩内線,,日本国有鉄道,岩内線,,1,1,,,,,4,
,,,,,,,西前田,西前田,日本国有鉄道,岩内線,,日本国有鉄道,岩内線,,1,1,,,,,5,
,,,,,,,岩内,岩内,日本国有鉄道,岩内線,,日本国有鉄道,岩内線,,1,1,,,,,6,
,,,,,,,伊達紋別,伊達紋別,日本国有鉄道,胆振線,,日本国有鉄道,胆振線,,1,1,,,,,1,
,,,,,,,上長和,上長和,日本国有鉄道,胆振線,,日本国有鉄道,胆振線,,1,1,,,,,2,
,,,,,,,壮瞥,壮瞥,日本国有鉄道,胆振線,,日本国有鉄道,胆振線,,1,1,,,,,3,
,,,,,,,久保内,久保内,日本国有鉄道,胆振線,,日本国有鉄道,胆振線,,1,1,,,,,4,
,,,,,,,蟠渓,蟠渓,日本国有鉄道,胆振線,,日本国有鉄道,胆振線,,1,1,,,,,5,
,,,,,,,北湯沢,北湯沢,日本国有鉄道,胆振線,,日本国有鉄道,胆振線,,1,1,,,,,6,
,,,,,,,優徳,優徳,日本国有鉄道,胆振線,,日本国有鉄道,胆振線,,1,1,,,,,7,
,,,,,,,新大滝,新大滝,日本国有鉄道,胆振線,,日本国有鉄道,胆振線,,1,1,,,,,8,
,,,,,,,御園,御園,日本国有鉄道,胆振線,,日本国有鉄道,胆振線,,1,1,,,,,9,
,,,,,,,北鈴川,北鈴川,日本国有鉄道,胆振線,,日本国有鉄道,胆振線,,1,1,,,,,10,
,,,,,,,喜茂別,喜茂別,日本国有鉄道,胆振線,,日本国有鉄道,胆振線,,1,1,,,,,11,
,,,,,,,留産,留産,日本国有鉄道,胆振線,,日本国有鉄道,胆振線,,1,1,,,,,12,
,,,,,,,南京極,南京極,日本国有鉄道,胆振線,,日本国有鉄道,胆振線,,1,1,,,,,13,
,,,,,,,東京極,東京極,日本国有鉄道,胆振線,,日本国有鉄道,胆振線,,1,1,,,,,14,
,,,,,,,京極,京極,日本国有鉄道,胆振線,,日本国有鉄道,胆振線,,1,1,,,,,15,
,,,,,,,北岡,北岡,日本国有鉄道,胆振線,,日本国有鉄道,胆振線,,1,1,,,,,16,
,,,,,,,寒別,寒別,日本国有鉄道,胆振線,,日本国有鉄道,胆振線,,1,1,,,,,17,
,,,,,,,参郷,参郷,日本国有鉄道,胆振線,,日本国有鉄道,胆振線,,1,1,,,,,18,
,,,,,,,六郷,六郷,日本国有鉄道,胆振線,,日本国有鉄道,胆振線,,1,1,,,,,19,
,,,,,,,倶知安,倶知安,日本国有鉄道,胆振線,,日本国有鉄道,胆振線,,1,1,,,,,20,
,,,,,,,京極,京極,日本国有鉄道,胆振線,支線,日本国有鉄道,胆振線,支線,1,1,,,,,1,
,,,,,,,脇方,脇方,日本国有鉄道,胆振線,支線,日本国有鉄道,胆振線,支線,1,1,,,,,2,
,,,,,,,志文,志文,日本国有鉄道,万字線,,日本国有鉄道,万字線,,1,1,,,,,1,
,,,,,,,上志文,上志文,日本国有鉄道,万字線,,日本国有鉄道,万字線,,1,1,,,,,2,
,,,,,,,朝日,朝日,日本国有鉄道,万字線,,日本国有鉄道,万字線,,1,1,,,,,3,
,,,,,,,美流渡,美流渡,日本国有鉄道,万字線,,日本国有鉄道,万字線,,1,1,,,,,4,
,,,,,,,万字,万字,日本国有鉄道,万字線,,日本国有鉄道,万字線,,1,1,,,,,5,
,,,,,,,万字炭山,万字炭山,日本国有鉄道,万字線,,日本国有鉄道,万字線,,1,1,,,,,6,
,,,,,,,岩見沢,岩見沢,北海道旅客鉄道株式会社,幌内線,,北海道旅客鉄道株式会社,幌内線,,1,1,,,,,1,
,,,,,,,栄町,栄町,北海道旅客鉄道株式会社,幌内線,,北海道旅客鉄道株式会社,幌内線,,1,1,,,,,2,
,,,,,,,萱野,萱野,北海道旅客鉄道株式会社,幌内線,,北海道旅客鉄道株式会社,幌内線,,1,1,,,,,3,
,,,,,,,三笠,三笠,北海道旅客鉄道株式会社,幌内線,,北海道旅客鉄道株式会社,幌内線,,1,1,,,,,4,
,,,,,,,唐松,唐松,北海道旅客鉄道株式会社,幌内線,,北海道旅客鉄道株式会社,幌内線,,1,1,,,,,5,
,,,,,,,弥生,弥生,北海道旅客鉄道株式会社,幌内線,,北海道旅客鉄道株式会社,幌内線,,1,1,,,,,6,
,,,,,,,幾春別,幾春別,北海道旅客鉄道株式会社,幌内線,,北海道旅客鉄道株式会社,幌内線,,1,1,,,,,7,
,,,,,,,三笠,三笠,日本国有鉄道,幌内線,支線,日本国有鉄道,幌内線,支線,1,1,,,,,1,
,,,,,,,幌内住吉,幌内住吉,日本国有鉄道,幌内線,支線,日本国有鉄道,幌内線,支線,1,1,,,,,2,
,,,,,,,幌内,幌内,日本国有鉄道,幌内線,支線,日本国有鉄道,幌内線,支線,1,1,,,,,3,
,,,,,,,美唄,美唄,日本国有鉄道,函館本線,美唄支線,日本国有鉄道,函館本線,美唄支線,1,1,,,,,1,
,,,,,,,南美唄,南美唄,日本国有鉄道,函館本線,美唄支線,日本国有鉄道,函館本線,美唄支線,1,1,,,,,2,
,,,,,,,砂川,砂川,北海道旅客鉄道株式会社,函館本線,上砂川支線,北海道旅客鉄道株式会社,函館本線,上砂川支線,1,1,,,,,1,
,,,,,,,下鶉,下鶉,北海道旅客鉄道株式会社,函館本線,上砂川支線,北海道旅客鉄道株式会社,函館本線,上砂川支線,1,1,,,,,2,
,,,,,,,鶉,鶉,北海道旅客鉄道株式会社,函館本線,上砂川支線,北海道旅客鉄道株式会社,函館本線,上砂川支線,1,1,,,,,3,
,,,,,,,東鶉,東鶉,北海道旅客鉄道株式会社,函館本線,上砂川支線,北海道旅客鉄道株式会社,函館本線,上砂川支線,1,1,,,,,4,
,,,,,,,上砂川,上砂川,北海道旅客鉄道株式会社,函館本線,上砂川支線,北海道旅客鉄道株式会社,函館本線,上砂川支線,1,1,,,,,5,
,,,,,,,砂川,砂川,北海道旅客鉄道株式会社,歌志内線,,北海道旅客鉄道株式会社,歌志内線,,1,1,,,,,1,
,,,,,,,焼山,焼山,北海道旅客鉄道株式会社,歌志内線,,北海道旅客鉄道株式会社,歌志内線,,1,1,,,,,2,
,,,,,,,文珠,文珠,北海道旅客鉄道株式会社,歌志内線,,北海道旅客鉄道株式会社,歌志内線,,1,1,,,,,3,
,,,,,,,西歌,西歌,北海道旅客鉄道株式会社,歌志内線,,北海道旅客鉄道株式会社,歌志内線,,1,1,,,,,4,
,,,,,,,神威,神威,北海道旅客鉄道株式会社,歌志内線,,北海道旅客鉄道株式会社,歌志内線,,1,1,,,,,5,
,,,,,,,歌神,歌神,北海道旅客鉄道株式会社,歌志内線,,北海道旅客鉄道株式会社,歌志内線,,1,1,,,,,6,
,,,,,,,歌志内,歌志内,北海道旅客鉄道株式会社,歌志内線,,北海道旅客鉄道株式会社,歌志内線,,1,1,,,,,7,
,,,,,,,新十津川,新十津川,日本国有鉄道,札沼線,新十津川～石狩沼田,日本国有鉄道,札沼線,新十津川～石狩沼田,1,1,,,,,1,
,,,,,,,石狩橋本,石狩橋本,日本国有鉄道,札沼線,新十津川～石狩沼田,日本国有鉄道,札沼線,新十津川～石狩沼田,1,1,,,,,2,
,,,,,,,上徳富,上徳富,日本国有鉄道,札沼線,新十津川～石狩沼田,日本国有鉄道,札沼線,新十津川～石狩沼田,1,1,,,,,3,
,,,,,,,北上徳富,北上徳富,日本国有鉄道,札沼線,新十津川～石狩沼田,日本国有鉄道,札沼線,新十津川～石狩沼田,1,1,,,,,4,
,,,,,,,南雨竜(仮),南雨竜(仮),日本国有鉄道,札沼線,新十津川～石狩沼田,日本国有鉄道,札沼線,新十津川～石狩沼田,1,1,,,,,5,
,,,,,,,雨竜,雨竜,日本国有鉄道,札沼線,新十津川～石狩沼田,日本国有鉄道,札沼線,新十津川～石狩沼田,1,1,,,,,6,
,,,,,,,中雨竜(仮),中雨竜(仮),日本国有鉄道,札沼線,新十津川～石狩沼田,日本国有鉄道,札沼線,新十津川～石狩沼田,1,1,,,,,7,
,,,,,,,石狩追分,石狩追分,日本国有鉄道,札沼線,新十津川～石狩沼田,日本国有鉄道,札沼線,新十津川～石狩沼田,1,1,,,,,8,
,,,,,,,渭ノ津,渭ノ津,日本国有鉄道,札沼線,新十津川～石狩沼田,日本国有鉄道,札沼線,新十津川～石狩沼田,1,1,,,,,9,
,,,,,,,和,和,日本国有鉄道,札沼線,新十津川～石狩沼田,日本国有鉄道,札沼線,新十津川～石狩沼田,1,1,,,,,10,
,,,,,,,中ノ岱,中ノ岱,日本国有鉄道,札沼線,新十津川～石狩沼田,日本国有鉄道,札沼線,新十津川～石狩沼田,1,1,,,,,11,
,,,,,,,碧水,碧水,日本国有鉄道,札沼線,新十津川～石狩沼田,日本国有鉄道,札沼線,新十津川～石狩沼田,1,1,,,,,12,
,,,,,,,北竜,北竜,日本国有鉄道,札沼線,新十津川～石狩沼田,日本国有鉄道,札沼線,新十津川～石狩沼田,1,1,,,,,13,
,,,,,,,五ケ山,五ケ山,日本国有鉄道,札沼線,新十津川～石狩沼田,日本国有鉄道,札沼線,新十津川～石狩沼田,1,1,,,,,14,
,,,,,,,石狩沼田,石狩沼田,日本国有鉄道,札沼線,新十津川～石狩沼田,日本国有鉄道,札沼線,新十津川～石狩沼田,1,1,,,,,15,
,,,,,,,鵡川,鵡川,日本国有鉄道,富内線,,日本国有鉄道,富内線,,1,1,,,,,1,
,,,,,,,豊城,豊城,日本国有鉄道,富内線,,日本国有鉄道,富内線,,1,1,,,,,2,
,,,,,,,春日,春日,日本国有鉄道,富内線,,日本国有鉄道,富内線,,1,1,,,,,3,
,,,,,,,旭岡,旭岡,日本国有鉄道,富内線,,日本国有鉄道,富内線,,1,1,,,,,4,
,,,,,,,栄,栄,日本国有鉄道,富内線,,日本国有鉄道,富内線,,1,1,,,,,5,
,,,,,,,豊田,豊田,日本国有鉄道,富内線,,日本国有鉄道,富内線,,1,1,,,,,6,
,,,,,,,穂別,穂別,日本国有鉄道,富内線,,日本国有鉄道,富内線,,1,1,,,,,7,
,,,,,,,富内,富内,日本国有鉄道,富内線,,日本国有鉄道,富内線,,1,1,,,,,8,
,,,,,,,幌毛志,幌毛志,日本国有鉄道,富内線,,日本国有鉄道,富内線,,1,1,,,,,9,
,,,,,,,振内,振内,日本国有鉄道,富内線,,日本国有鉄道,富内線,,1,1,,,,,10,
,,,,,,,仁世宇,仁世宇,日本国有鉄道,富内線,,日本国有鉄道,富内線,,1,1,,,,,11,
,,,,,,,岩知志,岩知志,日本国有鉄道,富内線,,日本国有鉄道,富内線,,1,1,,,,,12,
,,,,,,,日高岩内,日高岩内,日本国有鉄道,富内線,,日本国有鉄道,富内線,,1,1,,,,,13,
,,,,,,,日高三岡,日高三岡,日本国有鉄道,富内線,,日本国有鉄道,富内線,,1,1,,,,,14,
,,,,,,,日高町,日高町,日本国有鉄道,富内線,,日本国有鉄道,富内線,,1,1,,,,,15,
,,,,,,,留萠,留萠,日本国有鉄道,羽幌線,,日本国有鉄道,羽幌線,,1,1,,,,,1,
,,,,,,,三泊,三泊,日本国有鉄道,羽幌線,,日本国有鉄道,羽幌線,,1,1,,,,,2,
,,,,,,,臼谷,臼谷,日本国有鉄道,羽幌線,,日本国有鉄道,羽幌線,,1,1,,,,,3,
,,,,,,,小平,小平,日本国有鉄道,羽幌線,,日本国有鉄道,羽幌線,,1,1,,,,,4,
,,,,,,,花岡(仮),花岡(仮),日本国有鉄道,羽幌線,,日本国有鉄道,羽幌線,,1,1,,,,,5,
,,,,,,,大椴,大椴,日本国有鉄道,羽幌線,,日本国有鉄道,羽幌線,,1,1,,,,,6,
,,,,,,,富岡(仮),富岡(仮),日本国有鉄道,羽幌線,,日本国有鉄道,羽幌線,,1,1,,,,,7,
,,,,,,,鬼鹿,鬼鹿,日本国有鉄道,羽幌線,,日本国有鉄道,羽幌線,,1,1,,,,,8,
,,,,,,,千松(仮),千松(仮),日本国有鉄道,羽幌線,,日本国有鉄道,羽幌線,,1,1,,,,,9,
,,,,,,,力昼,力昼,日本国有鉄道,羽幌線,,日本国有鉄道,羽幌線,,1,1,,,,,10,
,,,,,,,番屋ノ沢(仮),番屋ノ沢(仮),日本国有鉄道,羽幌線,,日本国有鉄道,羽幌線,,1,1,,,,,11,
,,,,,,,古丹別,古丹別,日本国有鉄道,羽幌線,,日本国有鉄道,羽幌線,,1,1,,,,,12,
,,,,,,,上平,上平,日本国有鉄道,羽幌線,,日本国有鉄道,羽幌線,,1,1,,,,,13,
,,,,,,,苫前,苫前,日本国有鉄道,羽幌線,,日本国有鉄道,羽幌線,,1,1,,,,,14,
,,,,,,,興津(仮),興津(仮),日本国有鉄道,羽幌線,,日本国有鉄道,羽幌線,,1,1,,,,,15,
,,,,,,,羽幌,羽幌,日本国有鉄道,羽幌線,,日本国有鉄道,羽幌線,,1,1,,,,,16,
,,,,,,,下ノ滝(仮),下ノ滝(仮),日本国有鉄道,羽幌線,,日本国有鉄道,羽幌線,,1,1,,,,,17,
,,,,,,,築別,築別,日本国有鉄道,羽幌線,,日本国有鉄道,羽幌線,,1,1,,,,,18,
,,,,,,,天塩有明,天塩有明,日本国有鉄道,羽幌線,,日本国有鉄道,羽幌線,,1,1,,,,,19,
,,,,,,,天塩栄,天塩栄,日本国有鉄道,羽幌線,,日本国有鉄道,羽幌線,,1,1,,,,,20,
,,,,,,,初山別,初山別,日本国有鉄道,羽幌線,,日本国有鉄道,羽幌線,,1,1,,,,,21,
,,,,,,,豊岬,豊岬,日本国有鉄道,羽幌線,,日本国有鉄道,羽幌線,,1,1,,,,,22,
,,,,,,,天塩大沢,天塩大沢,日本国有鉄道,羽幌線,,日本国有鉄道,羽幌線,,1,1,,,,,23,
,,,,,,,共成,共成,日本国有鉄道,羽幌線,,日本国有鉄道,羽幌線,,1,1,,,,,24,
,,,,,,,歌越,歌越,日本国有鉄道,羽幌線,,日本国有鉄道,羽幌線,,1,1,,,,,25,
,,,,,,,天塩金浦,天塩金浦,日本国有鉄道,羽幌線,,日本国有鉄道,羽幌線,,1,1,,,,,26,
,,,,,,,遠別,遠別,日本国有鉄道,羽幌線,,日本国有鉄道,羽幌線,,1,1,,,,,27,
,,,,,,,啓明(仮),啓明(仮),日本国有鉄道,羽幌線,,日本国有鉄道,羽幌線,,1,1,,,,,28,
,,,,,,,丸松,丸松,日本国有鉄道,羽幌線,,日本国有鉄道,羽幌線,,1,1,,,,,29,
,,,,,,,北里(仮),北里(仮),日本国有鉄道,羽幌線,,日本国有鉄道,羽幌線,,1,1,,,,,30,
,,,,,,,更岸,更岸,日本国有鉄道,羽幌線,,日本国有鉄道,羽幌線,,1,1,,,,,31,
,,,,,,,干拓(仮),干拓(仮),日本国有鉄道,羽幌線,,日本国有鉄道,羽幌線,,1,1,,,,,32,
,,,,,,,天塩,天塩,日本国有鉄道,羽幌線,,日本国有鉄道,羽幌線,,1,1,,,,,33,
,,,,,,,中川口(仮),中川口(仮),日本国有鉄道,羽幌線,,日本国有鉄道,羽幌線,,1,1,,,,,34,
,,,,,,,北川口,北川口,日本国有鉄道,羽幌線,,日本国有鉄道,羽幌線,,1,1,,,,,35,
,,,,,,,西振老(仮),西振老(仮),日本国有鉄道,羽幌線,,日本国有鉄道,羽幌線,,1,1,,,,,36,
,,,,,,,振老,振老,日本国有鉄道,羽幌線,,日本国有鉄道,羽幌線,,1,1,,,,,37,
,,,,,,,作返(仮),作返(仮),日本国有鉄道,羽幌線,,日本国有鉄道,羽幌線,,1,1,,,,,38,
,,,,,,,幌延,幌延,日本国有鉄道,羽幌線,,日本国有鉄道,羽幌線,,1,1,,,,,39,
,,,,,,,標茶,標茶,北海道旅客鉄道株式会社,標津線,,北海道旅客鉄道株式会社,標津線,,1,1,,,,,1,
,,,,,,,多和,多和,北海道旅客鉄道株式会社,標津線,,北海道旅客鉄道株式会社,標津線,,1,1,,,,,2,
,,,,,,,泉川,泉川,北海道旅客鉄道株式会社,標津線,,北海道旅客鉄道株式会社,標津線,,1,1,,,,,3,
,,,,,,,光進,光進,北海道旅客鉄道株式会社,標津線,,北海道旅客鉄道株式会社,標津線,,1,1,,,,,4,
,,,,,,,西春別,西春別,北海道旅客鉄道株式会社,標津線,,北海道旅客鉄道株式会社,標津線,,1,1,,,,,5,
,,,,,,,上春別,上春別,北海道旅客鉄道株式会社,標津線,,北海道旅客鉄道株式会社,標津線,,1,1,,,,,6,
,,,,,,,計根別,計根別,北海道旅客鉄道株式会社,標津線,,北海道旅客鉄道株式会社,標津線,,1,1,,,,,7,
,,,,,,,開栄(仮),開栄(仮),北海道旅客鉄道株式会社,標津線,,北海道旅客鉄道株式会社,標津線,,1,1,,,,,8,
,,,,,,,当幌,当幌,北海道旅客鉄道株式会社,標津線,,北海道旅客鉄道株式会社,標津線,,1,1,,,,,9,
