駅グループ名,駅グループ事業者,駅グループ路線名,駅グループ路線区別名,駅グループ路線正式区間,駅グループ路線運行系統,駅グループの路線ごとの並び順,駅名,駅名(正式),駅の路線の事業者,駅の路線,駅の路線区別名,駅の路線の事業者(運行系統),路線名(運行系統),路線区別名(運行系統),"路線[正式区間](1:true, none:false)","路線[運行系統](1:true, none:false)",ナンバリング接頭辞,路線記号,ナンバリングハイフン,駅番号,路線(運行系統)ごとの並び順,駅カラー
,,,,,,,作木口,作木口,西日本旅客鉄道株式会社,三江線,,西日本旅客鉄道株式会社,三江線,,1,1,,,,,26,
,,,,,,,香淀,香淀,西日本旅客鉄道株式会社,三江線,,西日本旅客鉄道株式会社,三江線,,1,1,,,,,27,
,,,,,,,式敷,式敷,西日本旅客鉄道株式会社,三江線,,西日本旅客鉄道株式会社,三江線,,1,1,,,,,28,
,,,,,,,信木,信木,西日本旅客鉄道株式会社,三江線,,西日本旅客鉄道株式会社,三江線,,1,1,,,,,29,
,,,,,,,所木,所木,西日本旅客鉄道株式会社,三江線,,西日本旅客鉄道株式会社,三江線,,1,1,,,,,30,
,,,,,,,船佐,船佐,西日本旅客鉄道株式会社,三江線,,西日本旅客鉄道株式会社,三江線,,1,1,,,,,31,
,,,,,,,長谷,長谷,西日本旅客鉄道株式会社,三江線,,西日本旅客鉄道株式会社,三江線,,1,1,,,,,32,
,,,,,,,粟屋,粟屋,西日本旅客鉄道株式会社,三江線,,西日本旅客鉄道株式会社,三江線,,1,1,,,,,33,
,,,,,,,尾関山,尾関山,西日本旅客鉄道株式会社,三江線,,西日本旅客鉄道株式会社,三江線,,1,1,,,,,34,
,,,,,,,三次,三次,西日本旅客鉄道株式会社,三江線,,西日本旅客鉄道株式会社,三江線,,1,1,,,,,35,
,,,,,,,出雲市,出雲市,西日本旅客鉄道株式会社,大社線,,西日本旅客鉄道株式会社,大社線,,1,1,,,,,1,
,,,,,,,出雲高松,出雲高松,西日本旅客鉄道株式会社,大社線,,西日本旅客鉄道株式会社,大社線,,1,1,,,,,2,
,,,,,,,荒茅,荒茅,西日本旅客鉄道株式会社,大社線,,西日本旅客鉄道株式会社,大社線,,1,1,,,,,3,
,,,,,,,大社,大社,西日本旅客鉄道株式会社,大社線,,西日本旅客鉄道株式会社,大社線,,1,1,,,,,4,
,,,,,,,可部,可部,西日本旅客鉄道株式会社,可部線,旧線,西日本旅客鉄道株式会社,可部線,旧線,1,1,,,,,1,
,,,,,,,河戸,河戸,西日本旅客鉄道株式会社,可部線,旧線,西日本旅客鉄道株式会社,可部線,旧線,1,1,,,,,2,
,,,,,,,今井田,今井田,西日本旅客鉄道株式会社,可部線,旧線,西日本旅客鉄道株式会社,可部線,旧線,1,1,,,,,3,
,,,,,,,安芸亀山,安芸亀山,西日本旅客鉄道株式会社,可部線,旧線,西日本旅客鉄道株式会社,可部線,旧線,1,1,,,,,4,
,,,,,,,毛木,毛木,西日本旅客鉄道株式会社,可部線,旧線,西日本旅客鉄道株式会社,可部線,旧線,1,1,,,,,5,
,,,,,,,安芸飯室,安芸飯室,西日本旅客鉄道株式会社,可部線,旧線,西日本旅客鉄道株式会社,可部線,旧線,1,1,,,,,6,
,,,,,,,布,布,西日本旅客鉄道株式会社,可部線,旧線,西日本旅客鉄道株式会社,可部線,旧線,1,1,,,,,7,
,,,,,,,小河内,小河内,西日本旅客鉄道株式会社,可部線,旧線,西日本旅客鉄道株式会社,可部線,旧線,1,1,,,,,8,
,,,,,,,安野,安野,西日本旅客鉄道株式会社,可部線,旧線,西日本旅客鉄道株式会社,可部線,旧線,1,1,,,,,9,
,,,,,,,水内,水内,西日本旅客鉄道株式会社,可部線,旧線,西日本旅客鉄道株式会社,可部線,旧線,1,1,,,,,10,
,,,,,,,坪野,坪野,西日本旅客鉄道株式会社,可部線,旧線,西日本旅客鉄道株式会社,可部線,旧線,1,1,,,,,11,
,,,,,,,田之尻,田之尻,西日本旅客鉄道株式会社,可部線,旧線,西日本旅客鉄道株式会社,可部線,旧線,1,1,,,,,12,
,,,,,,,津浪,津浪,西日本旅客鉄道株式会社,可部線,旧線,西日本旅客鉄道株式会社,可部線,旧線,1,1,,,,,13,
,,,,,,,香草,香草,西日本旅客鉄道株式会社,可部線,旧線,西日本旅客鉄道株式会社,可部線,旧線,1,1,,,,,14,
,,,,,,,加計,加計,西日本旅客鉄道株式会社,可部線,旧線,西日本旅客鉄道株式会社,可部線,旧線,1,1,,,,,15,
,,,,,,,木坂,木坂,西日本旅客鉄道株式会社,可部線,旧線,西日本旅客鉄道株式会社,可部線,旧線,1,1,,,,,16,
,,,,,,,殿賀,殿賀,西日本旅客鉄道株式会社,可部線,旧線,西日本旅客鉄道株式会社,可部線,旧線,1,1,,,,,17,
,,,,,,,上殿,上殿,西日本旅客鉄道株式会社,可部線,旧線,西日本旅客鉄道株式会社,可部線,旧線,1,1,,,,,18,
,,,,,,,筒賀,筒賀,西日本旅客鉄道株式会社,可部線,旧線,西日本旅客鉄道株式会社,可部線,旧線,1,1,,,,,19,
,,,,,,,土居,土居,西日本旅客鉄道株式会社,可部線,旧線,西日本旅客鉄道株式会社,可部線,旧線,1,1,,,,,20,
,,,,,,,戸河内,戸河内,西日本旅客鉄道株式会社,可部線,旧線,西日本旅客鉄道株式会社,可部線,旧線,1,1,,,,,21,
,,,,,,,三段峡,三段峡,西日本旅客鉄道株式会社,可部線,旧線,西日本旅客鉄道株式会社,可部線,旧線,1,1,,,,,22,
,,,,,,,河佐,河佐,西日本旅客鉄道株式会社,福塩線,旧線,西日本旅客鉄道株式会社,福塩線,旧線,1,1,,,,,23,
,,,,,,,八田原,八田原,西日本旅客鉄道株式会社,福塩線,旧線,西日本旅客鉄道株式会社,福塩線,旧線,1,1,,,,,24,
,,,,,,,備後三川,備後三川,西日本旅客鉄道株式会社,福塩線,旧線,西日本旅客鉄道株式会社,福塩線,旧線,1,1,,,,,25,
,,,,,,,南大嶺,南大嶺,西日本旅客鉄道株式会社,美祢線,旧線,西日本旅客鉄道株式会社,美祢線,旧線,1,1,,,,,26,
,,,,,,,大嶺,大嶺,西日本旅客鉄道株式会社,美祢線,旧線,西日本旅客鉄道株式会社,美祢線,旧線,1,1,,,,,27,
,,,,,,,大畠,大畠,日本国有鉄道,大島航路,,日本国有鉄道,大島航路,,1,1,,,,,1,
,,,,,,,小松港,小松港,日本国有鉄道,大島航路,,日本国有鉄道,大島航路,,1,1,,,,,2,
,,,,,,,宇野,宇野,四国旅客鉄道株式会社,宇高航路,,四国旅客鉄道株式会社,宇高航路,,1,1,,,,,1,
,,,,,,,高松,高松,四国旅客鉄道株式会社,宇高航路,,四国旅客鉄道株式会社,宇高航路,,1,1,,,,,2,
,,,,,,,板野,板野,日本国有鉄道,鍛冶屋原線,,日本国有鉄道,鍛冶屋原線,,1,1,,,,,1,
,,,,,,,犬伏,犬伏,日本国有鉄道,鍛冶屋原線,,日本国有鉄道,鍛冶屋原線,,1,1,,,,,2,
,,,,,,,羅漢,羅漢,日本国有鉄道,鍛冶屋原線,,日本国有鉄道,鍛冶屋原線,,1,1,,,,,3,
,,,,,,,神宅,神宅,日本国有鉄道,鍛冶屋原線,,日本国有鉄道,鍛冶屋原線,,1,1,,,,,4,
,,,,,,,鍛冶屋原,鍛冶屋原,日本国有鉄道,鍛冶屋原線,,日本国有鉄道,鍛冶屋原線,,1,1,,,,,5,
,,,,,,,中田,中田,日本国有鉄道,小松島線,,日本国有鉄道,小松島線,,1,1,,,,,1,
,,,,,,,小松島,小松島,日本国有鉄道,小松島線,,日本国有鉄道,小松島線,,1,1,,,,,2,
,,,,,,,小松島港,小松島港,日本国有鉄道,小松島線,,日本国有鉄道,小松島線,,1,1,,,,,3,
,,,,,,,五郎,五郎,日本国有鉄道,内子線,旧線,日本国有鉄道,内子線,旧線,1,1,,,,,1,
,,,,,,,新谷,新谷,日本国有鉄道,内子線,旧線,日本国有鉄道,内子線,旧線,1,1,,,,,2,
,,,,,,,仁方,仁方,日本国有鉄道,仁堀航路,,日本国有鉄道,仁堀航路,,1,1,,,,,1,
,,,,,,,堀江,堀江,日本国有鉄道,仁堀航路,,日本国有鉄道,仁堀航路,,1,1,,,,,2,
,,,,,,,吉塚,吉塚,日本国有鉄道,勝田線,,日本国有鉄道,勝田線,,1,1,,,,,1,
,,,,,,,御手洗,御手洗,日本国有鉄道,勝田線,,日本国有鉄道,勝田線,,1,1,,,,,2,
,,,,,,,上亀山,上亀山,日本国有鉄道,勝田線,,日本国有鉄道,勝田線,,1,1,,,,,3,
,,,,,,,志免,志免,日本国有鉄道,勝田線,,日本国有鉄道,勝田線,,1,1,,,,,4,
,,,,,,,下宇美,下宇美,日本国有鉄道,勝田線,,日本国有鉄道,勝田線,,1,1,,,,,5,
,,,,,,,宇美,宇美,日本国有鉄道,勝田線,,日本国有鉄道,勝田線,,1,1,,,,,6,
,,,,,,,筑前勝田,筑前勝田,日本国有鉄道,勝田線,,日本国有鉄道,勝田線,,1,1,,,,,7,
,,,,,,,遠賀川,遠賀川,日本国有鉄道,室木線,,日本国有鉄道,室木線,,1,1,,,,,1,
,,,,,,,古月,古月,日本国有鉄道,室木線,,日本国有鉄道,室木線,,1,1,,,,,2,
,,,,,,,鞍手,鞍手,日本国有鉄道,室木線,,日本国有鉄道,室木線,,1,1,,,,,3,
,,,,,,,八尋,八尋,日本国有鉄道,室木線,,日本国有鉄道,室木線,,1,1,,,,,4,
,,,,,,,室木,室木,日本国有鉄道,室木線,,日本国有鉄道,室木線,,1,1,,,,,5,
,,,,,,,中間,中間,日本国有鉄道,香月線,,日本国有鉄道,香月線,,1,1,,,,,1,
,,,,,,,新手,新手,日本国有鉄道,香月線,,日本国有鉄道,香月線,,1,1,,,,,2,
,,,,,,,岩崎,岩崎,日本国有鉄道,香月線,,日本国有鉄道,香月線,,1,1,,,,,3,
,,,,,,,香月,香月,日本国有鉄道,香月線,,日本国有鉄道,香月線,,1,1,,,,,4,
,,,,,,,勝野,勝野,九州旅客鉄道株式会社,宮田線,,九州旅客鉄道株式会社,宮田線,,1,1,,,,,1,
,,,,,,,磯光,磯光,九州旅客鉄道株式会社,宮田線,,九州旅客鉄道株式会社,宮田線,,1,1,,,,,2,
,,,,,,,筑前宮田,筑前宮田,九州旅客鉄道株式会社,宮田線,,九州旅客鉄道株式会社,宮田線,,1,1,,,,,3,
,,,,,,,羽犬塚,羽犬塚,日本国有鉄道,矢部線,,日本国有鉄道,矢部線,,1,1,,,,,1,
,,,,,,,花宗,花宗,日本国有鉄道,矢部線,,日本国有鉄道,矢部線,,1,1,,,,,2,
,,,,,,,鵜池,鵜池,日本国有鉄道,矢部線,,日本国有鉄道,矢部線,,1,1,,,,,3,
,,,,,,,蒲原,蒲原,日本国有鉄道,矢部線,,日本国有鉄道,矢部線,,1,1,,,,,4,
,,,,,,,筑後福島,筑後福島,日本国有鉄道,矢部線,,日本国有鉄道,矢部線,,1,1,,,,,5,
,,,,,,,今古賀,今古賀,日本国有鉄道,矢部線,,日本国有鉄道,矢部線,,1,1,,,,,6,
,,,,,,,上妻,上妻,日本国有鉄道,矢部線,,日本国有鉄道,矢部線,,1,1,,,,,7,
,,,,,,,山内,山内,日本国有鉄道,矢部線,,日本国有鉄道,矢部線,,1,1,,,,,8,
,,,,,,,北川内,北川内,日本国有鉄道,矢部線,,日本国有鉄道,矢部線,,1,1,,,,,9,
,,,,,,,黒木,黒木,日本国有鉄道,矢部線,,日本国有鉄道,矢部線,,1,1,,,,,10,
,,,,,,,小竹,小竹,日本国有鉄道,幸袋線,,日本国有鉄道,幸袋線,,1,1,,,,,1,
,,,,,,,目尾,目尾,日本国有鉄道,幸袋線,,日本国有鉄道,幸袋線,,1,1,,,,,2,
,,,,,,,幸袋,幸袋,日本国有鉄道,幸袋線,,日本国有鉄道,幸袋線,,1,1,,,,,3,
,,,,,,,新二瀬,新二瀬,日本国有鉄道,幸袋線,,日本国有鉄道,幸袋線,,1,1,,,,,4,
,,,,,,,二瀬,二瀬,日本国有鉄道,幸袋線,,日本国有鉄道,幸袋線,,1,1,,,,,5,
,,,,,,,下鴨生,下鴨生,日本国有鉄道,漆生線,,日本国有鉄道,漆生線,,1,1,,,,,1,
,,,,,,,鴨生,鴨生,日本国有鉄道,漆生線,,日本国有鉄道,漆生線,,1,1,,,,,2,
,,,,,,,漆生,漆生,日本国有鉄道,漆生線,,日本国有鉄道,漆生線,,1,1,,,,,3,
,,,,,,,才田,才田,日本国有鉄道,漆生線,,日本国有鉄道,漆生線,,1,1,,,,,4,
,,,,,,,下山田,下山田,日本国有鉄道,漆生線,,日本国有鉄道,漆生線,,1,1,,,,,5,
,,,,,,,飯塚,飯塚,九州旅客鉄道株式会社,上山田線,,九州旅客鉄道株式会社,上山田線,,1,1,,,,,1,
,,,,,,,平恒,平恒,九州旅客鉄道株式会社,上山田線,,九州旅客鉄道株式会社,上山田線,,1,1,,,,,2,
,,,,,,,臼井,臼井,九州旅客鉄道株式会社,上山田線,,九州旅客鉄道株式会社,上山田線,,1,1,,,,,3,
,,,,,,,大隈,大隈,九州旅客鉄道株式会社,上山田線,,九州旅客鉄道株式会社,上山田線,,1,1,,,,,4,
,,,,,,,下山田,下山田,九州旅客鉄道株式会社,上山田線,,九州旅客鉄道株式会社,上山田線,,1,1,,,,,5,
,,,,,,,上山田,上山田,九州旅客鉄道株式会社,上山田線,,九州旅客鉄道株式会社,上山田線,,1,1,,,,,6,
,,,,,,,熊ケ畑,熊ケ畑,九州旅客鉄道株式会社,上山田線,,九州旅客鉄道株式会社,上山田線,,1,1,,,,,7,
,,,,,,,真崎,真崎,九州旅客鉄道株式会社,上山田線,,九州旅客鉄道株式会社,上山田線,,1,1,,,,,8,
,,,,,,,東川崎,東川崎,九州旅客鉄道株式会社,上山田線,,九州旅客鉄道株式会社,上山田線,,1,1,,,,,9,
,,,,,,,豊前川崎,豊前川崎,九州旅客鉄道株式会社,上山田線,,九州旅客鉄道株式会社,上山田線,,1,1,,,,,10,
,,,,,,,香春,香春,日本国有鉄道,添田線,,日本国有鉄道,添田線,,1,1,,,,,1,
,,,,,,,上伊田,上伊田,日本国有鉄道,添田線,,日本国有鉄道,添田線,,1,1,,,,,2,
,,,,,,,今任,今任,日本国有鉄道,添田線,,日本国有鉄道,添田線,,1,1,,,,,3,
,,,,,,,大任,大任,日本国有鉄道,添田線,,日本国有鉄道,添田線,,1,1,,,,,4,
,,,,,,,伊原,伊原,日本国有鉄道,添田線,,日本国有鉄道,添田線,,1,1,,,,,5,
,,,,,,,添田,添田,日本国有鉄道,添田線,,日本国有鉄道,添田線,,1,1,,,,,6,
,,,,,,,恵良,恵良,日本国有鉄道,宮原線,,日本国有鉄道,宮原線,,1,1,,,,,1,
,,,,,,,町田,町田,日本国有鉄道,宮原線,,日本国有鉄道,宮原線,,1,1,,,,,2,
,,,,,,,宝泉寺,宝泉寺,日本国有鉄道,宮原線,,日本国有鉄道,宮原線,,1,1,,,,,3,
,,,,,,,麻生釣,麻生釣,日本国有鉄道,宮原線,,日本国有鉄道,宮原線,,1,1,,,,,4,
,,,,,,,北里,北里,日本国有鉄道,宮原線,,日本国有鉄道,宮原線,,1,1,,,,,5,
,,,,,,,肥後小国,肥後小国,日本国有鉄道,宮原線,,日本国有鉄道,宮原線,,1,1,,,,,6,
,,,,,,,博多,博多,日本国有鉄道,筑肥線,博多～姪浜,日本国有鉄道,筑肥線,博多～姪浜,1,1,,,,,1,
,,,,,,,筑前簑島,筑前簑島,日本国有鉄道,筑肥線,博多～姪浜,日本国有鉄道,筑肥線,博多～姪浜,1,1,,,,,2,
,,,,,,,筑前高宮,筑前高宮,日本国有鉄道,筑肥線,博多～姪浜,日本国有鉄道,筑肥線,博多～姪浜,1,1,,,,,3,
,,,,,,,小笹,小笹,日本国有鉄道,筑肥線,博多～姪浜,日本国有鉄道,筑肥線,博多～姪浜,1,1,,,,,4,
,,,,,,,鳥飼,鳥飼,日本国有鉄道,筑肥線,博多～姪浜,日本国有鉄道,筑肥線,博多～姪浜,1,1,,,,,5,
,,,,,,,西新,西新,日本国有鉄道,筑肥線,博多～姪浜,日本国有鉄道,筑肥線,博多～姪浜,1,1,,,,,6,
,,,,,,,姪浜,姪浜,日本国有鉄道,筑肥線,博多～姪浜,日本国有鉄道,筑肥線,博多～姪浜,1,1,,,,,7,
,,,,,,,虹ノ松原,虹ノ松原,日本国有鉄道,筑肥線,虹ノ松原～山本,日本国有鉄道,筑肥線,虹ノ松原～山本,1,1,,,,,1,
,,,,,,,東唐津,東唐津,日本国有鉄道,筑肥線,虹ノ松原～山本,日本国有鉄道,筑肥線,虹ノ松原～山本,1,1,,,,,2,
,,,,,,,鏡,鏡,日本国有鉄道,筑肥線,虹ノ松原～山本,日本国有鉄道,筑肥線,虹ノ松原～山本,1,1,,,,,3,
,,,,,,,久里,久里,日本国有鉄道,筑肥線,虹ノ松原～山本,日本国有鉄道,筑肥線,虹ノ松原～山本,1,1,,,,,4,
,,,,,,,山本,山本,日本国有鉄道,筑肥線,虹ノ松原～山本,日本国有鉄道,筑肥線,虹ノ松原～山本,1,1,,,,,5,
,,,,,,,佐賀,佐賀,日本国有鉄道,佐賀線,,日本国有鉄道,佐賀線,,1,1,,,,,1,
,,,,,,,東佐賀,東佐賀,日本国有鉄道,佐賀線,,日本国有鉄道,佐賀線,,1,1,,,,,2,
,,,,,,,南佐賀,南佐賀,日本国有鉄道,佐賀線,,日本国有鉄道,佐賀線,,1,1,,,,,3,
,,,,,,,光法,光法,日本国有鉄道,佐賀線,,日本国有鉄道,佐賀線,,1,1,,,,,4,
,,,,,,,諸富,諸富,日本国有鉄道,佐賀線,,日本国有鉄道,佐賀線,,1,1,,,,,5,
,,,,,,,筑後若津,筑後若津,日本国有鉄道,佐賀線,,日本国有鉄道,佐賀線,,1,1,,,,,6,
,,,,,,,筑後大川,筑後大川,日本国有鉄道,佐賀線,,日本国有鉄道,佐賀線,,1,1,,,,,7,
,,,,,,,東大川,東大川,日本国有鉄道,佐賀線,,日本国有鉄道,佐賀線,,1,1,,,,,8,
,,,,,,,筑後柳河,筑後柳河,日本国有鉄道,佐賀線,,日本国有鉄道,佐賀線,,1,1,,,,,9,
,,,,,,,百町,百町,日本国有鉄道,佐賀線,,日本国有鉄道,佐賀線,,1,1,,,,,10,
,,,,,,,三橋,三橋,日本国有鉄道,佐賀線,,日本国有鉄道,佐賀線,,1,1,,,,,11,
,,,,,,,瀬高,瀬高,日本国有鉄道,佐賀線,,日本国有鉄道,佐賀線,,1,1,,,,,12,
,,,,,,,山本,山本,日本国有鉄道,唐津線,支線,日本国有鉄道,唐津線,支線,1,1,,,,,1,
,,,,,,,牟田部,牟田部,日本国有鉄道,唐津線,支線,日本国有鉄道,唐津線,支線,1,1,,,,,2,
,,,,,,,岸嶽,岸嶽,日本国有鉄道,唐津線,支線,日本国有鉄道,唐津線,支線,1,1,,,,,3,
,,,,,,,肥前吉井,肥前吉井,日本国有鉄道,世知原線,,日本国有鉄道,世知原線,,1,1,,,,,1,
,,,,,,,祝橋,祝橋,日本国有鉄道,世知原線,,日本国有鉄道,世知原線,,1,1,,,,,2,
,,,,,,,世知原,世知原,日本国有鉄道,世知原線,,日本国有鉄道,世知原線,,1,1,,,,,3,
,,,,,,,佐々,佐々,日本国有鉄道,臼ノ浦線,,日本国有鉄道,臼ノ浦線,,1,1,,,,,1,
,,,,,,,臼ノ浦,臼ノ浦,日本国有鉄道,臼ノ浦線,,日本国有鉄道,臼ノ浦線,,1,1,,,,,2,
,,,,,,,水俣,水俣,九州旅客鉄道株式会社,山野線,,九州旅客鉄道株式会社,山野線,,1,1,,,,,1,
,,,,,,,東水俣,東水俣,九州旅客鉄道株式会社,山野線,,九州旅客鉄道株式会社,山野線,,1,1,,,,,2,
,,,,,,,肥後深川,肥後深川,九州旅客鉄道株式会社,山野線,,九州旅客鉄道株式会社,山野線,,1,1,,,,,3,
,,,,,,,深渡瀬,深渡瀬,九州旅客鉄道株式会社,山野線,,九州旅客鉄道株式会社,山野線,,1,1,,,,,4,
,,,,,,,久木野,久木野,九州旅客鉄道株式会社,山野線,,九州旅客鉄道株式会社,山野線,,1,1,,,,,5,
,,,,,,,薩摩布計,薩摩布計,九州旅客鉄道株式会社,山野線,,九州旅客鉄道株式会社,山野線,,1,1,,,,,6,
,,,,,,,西山野,西山野,九州旅客鉄道株式会社,山野線,,九州旅客鉄道株式会社,山野線,,1,1,,,,,7,
,,,,,,,山野,山野,九州旅客鉄道株式会社,山野線,,九州旅客鉄道株式会社,山野線,,1,1,,,,,8,
,,,,,,,郡山八幡,郡山八幡,九州旅客鉄道株式会社,山野線,,九州旅客鉄道株式会社,山野線,,1,1,,,,,9,
,,,,,,,薩摩大口,薩摩大口,九州旅客鉄道株式会社,山野線,,九州旅客鉄道株式会社,山野線,,1,1,,,,,10,
,,,,,,,西菱刈,西菱刈,九州旅客鉄道株式会社,山野線,,九州旅客鉄道株式会社,山野線,,1,1,,,,,11,
,,,,,,,菱刈,菱刈,九州旅客鉄道株式会社,山野線,,九州旅客鉄道株式会社,山野線,,1,1,,,,,12,
,,,,,,,前目,前目,九州旅客鉄道株式会社,山野線,,九州旅客鉄道株式会社,山野線,,1,1,,,,,13,
,,,,,,,湯之尾,湯之尾,九州旅客鉄道株式会社,山野線,,九州旅客鉄道株式会社,山野線,,1,1,,,,,14,
,,,,,,,稲葉崎,稲葉崎,九州旅客鉄道株式会社,山野線,,九州旅客鉄道株式会社,山野線,,1,1,,,,,15,
,,,,,,,栗野,栗野,九州旅客鉄道株式会社,山野線,,九州旅客鉄道株式会社,山野線,,1,1,,,,,16,
,,,,,,,川内,川内,日本国有鉄道,宮之城線,,日本国有鉄道,宮之城線,,1,1,,,,,1,
,,,,,,,薩摩白浜,薩摩白浜,日本国有鉄道,宮之城線,,日本国有鉄道,宮之城線,,1,1,,,,,2,
,,,,,,,楠元,楠元,日本国有鉄道,宮之城線,,日本国有鉄道,宮之城線,,1,1,,,,,3,
,,,,,,,吉野山,吉野山,日本国有鉄道,宮之城線,,日本国有鉄道,宮之城線,,1,1,,,,,4,
,,,,,,,樋脇,樋脇,日本国有鉄道,宮之城線,,日本国有鉄道,宮之城線,,1,1,,,,,5,
,,,,,,,上樋脇,上樋脇,日本国有鉄道,宮之城線,,日本国有鉄道,宮之城線,,1,1,,,,,6,
,,,,,,,入来,入来,日本国有鉄道,宮之城線,,日本国有鉄道,宮之城線,,1,1,,,,,7,
,,,,,,,薩摩山崎,薩摩山崎,日本国有鉄道,宮之城線,,日本国有鉄道,宮之城線,,1,1,,,,,8,
,,,,,,,船木,船木,日本国有鉄道,宮之城線,,日本国有鉄道,宮之城線,,1,1,,,,,9,
,,,,,,,宮之城,宮之城,日本国有鉄道,宮之城線,,日本国有鉄道,宮之城線,,1,1,,,,,10,
,,,,,,,佐志,佐志,日本国有鉄道,宮之城線,,日本国有鉄道,宮之城線,,1,1,,,,,11,
